session,group,round,round_id,player_name,player_id,score,rank,game_name,game_id,game_category,game_category_id
1,1,1,1,Michael Trepp,57,1,4,Little Joe,34,old,1
1,1,1,1,Bob Matthews,12,7,1,Little Joe,34,old,1
1,1,1,1,Mark Pearson,54,3,3,Little Joe,34,old,1
1,1,1,1,Escher Lefkoff,28,5,2,Little Joe,34,old,1
1,1,2,2,Michael Trepp,57,5,2,Jokerz,31,mid,2
1,1,2,2,Bob Matthews,12,1,4,Jokerz,31,mid,2
1,1,2,2,Mark Pearson,54,7,1,Jokerz,31,mid,2
1,1,2,2,Escher Lefkoff,28,3,3,Jokerz,31,mid,2
1,1,3,3,Michael Trepp,57,3,3,Indianapolis 500,29,new,3
1,1,3,3,Bob Matthews,12,1,4,Indianapolis 500,29,new,3
1,1,3,3,Mark Pearson,54,5,2,Indianapolis 500,29,new,3
1,1,3,3,Escher Lefkoff,28,7,1,Indianapolis 500,29,new,3
1,2,1,4,Jeff Teolis,37,5,2,Nip It,38,old,1
1,2,1,4,Raymond Davidson,64,7,1,Nip It,38,old,1
1,2,1,4,Andrej Rižner,2,3,3,Nip It,38,old,1
1,2,1,4,Paul Jongma,62,1,4,Nip It,38,old,1
1,2,2,5,Jeff Teolis,37,3,3,Medusa,35,mid,2
1,2,2,5,Raymond Davidson,64,7,1,Medusa,35,mid,2
1,2,2,5,Andrej Rižner,2,1,4,Medusa,35,mid,2
1,2,2,5,Paul Jongma,62,5,2,Medusa,35,mid,2
1,2,3,6,Jeff Teolis,37,3,3,The Walking Dead Pro,57,new,3
1,2,3,6,Raymond Davidson,64,1,4,The Walking Dead Pro,57,new,3
1,2,3,6,Andrej Rižner,2,5,2,The Walking Dead Pro,57,new,3
1,2,3,6,Paul Jongma,62,7,1,The Walking Dead Pro,57,new,3
1,3,1,7,Jason Zahler,36,7,1,Harlem Globetrotters,28,old,1
1,3,1,7,Tyler Dipper,76,1,4,Harlem Globetrotters,28,old,1
1,3,1,7,Keri Wing,48,3,3,Harlem Globetrotters,28,old,1
1,3,1,7,Brian Shepherd,15,5,2,Harlem Globetrotters,28,old,1
1,3,2,8,Jason Zahler,36,1,4,Scorpion,47,mid,2
1,3,2,8,Tyler Dipper,76,5,2,Scorpion,47,mid,2
1,3,2,8,Keri Wing,48,7,1,Scorpion,47,mid,2
1,3,2,8,Brian Shepherd,15,3,3,Scorpion,47,mid,2
1,3,3,9,Jason Zahler,36,7,1,Avengers Infinity Quest Pro,7,new,3
1,3,3,9,Tyler Dipper,76,1,4,Avengers Infinity Quest Pro,7,new,3
1,3,3,9,Keri Wing,48,5,2,Avengers Infinity Quest Pro,7,new,3
1,3,3,9,Brian Shepherd,15,3,3,Avengers Infinity Quest Pro,7,new,3
1,4,1,10,Emil ED Dreiborg,25,1,4,Stellar Airship,53,old,1
1,4,1,10,Enrico Giorgio de Stefani,26,7,1,Stellar Airship,53,old,1
1,4,1,10,Brian O’Neill NH,14,3,3,Stellar Airship,53,old,1
1,4,1,10,Cayle George,17,5,2,Stellar Airship,53,old,1
1,4,2,11,Emil ED Dreiborg,25,7,1,Centaur,11,mid,2
1,4,2,11,Enrico Giorgio de Stefani,26,1,4,Centaur,11,mid,2
1,4,2,11,Brian O’Neill NH,14,5,2,Centaur,11,mid,2
1,4,2,11,Cayle George,17,3,3,Centaur,11,mid,2
1,4,3,12,Emil ED Dreiborg,25,3,3,Rush Pro,46,new,3
1,4,3,12,Enrico Giorgio de Stefani,26,7,1,Rush Pro,46,new,3
1,4,3,12,Brian O’Neill NH,14,5,2,Rush Pro,46,new,3
1,4,3,12,Cayle George,17,1,4,Rush Pro,46,new,3
1,5,1,13,Thomas Mästerman,71,1,4,8 Ball,2,old,1
1,5,1,13,Boldizsár Botka,13,5,2,8 Ball,2,old,1
1,5,1,13,Jonas Valström,44,3,3,8 Ball,2,old,1
1,5,1,13,Arvid Flygare,8,7,1,8 Ball,2,old,1
1,5,2,14,Thomas Mästerman,71,3,3,Fire,22,mid,2
1,5,2,14,Boldizsár Botka,13,7,1,Fire,22,mid,2
1,5,2,14,Jonas Valström,44,1,4,Fire,22,mid,2
1,5,2,14,Arvid Flygare,8,5,2,Fire,22,mid,2
1,5,3,15,Thomas Mästerman,71,7,1,Jurassic Park LE,32,new,3
1,5,3,15,Boldizsár Botka,13,3,3,Jurassic Park LE,32,new,3
1,5,3,15,Jonas Valström,44,5,2,Jurassic Park LE,32,new,3
1,5,3,15,Arvid Flygare,8,1,4,Jurassic Park LE,32,new,3
1,6,1,16,Archibald Lefevre,5,1,4,Fireball (DE),23,old,1
1,6,1,16,Tim Sexton,72,3,3,Fireball (DE),23,old,1
1,6,1,16,Viggo Löwgren,78,7,1,Fireball (DE),23,old,1
1,6,1,16,Jim Belsito,38,5,2,Fireball (DE),23,old,1
1,6,2,17,Archibald Lefevre,5,3,3,Barracora,8,mid,2
1,6,2,17,Tim Sexton,72,1,4,Barracora,8,mid,2
1,6,2,17,Viggo Löwgren,78,5,2,Barracora,8,mid,2
1,6,2,17,Jim Belsito,38,7,1,Barracora,8,mid,2
1,6,3,18,Archibald Lefevre,5,7,1,Congo,13,new,3
1,6,3,18,Tim Sexton,72,1,4,Congo,13,new,3
1,6,3,18,Viggo Löwgren,78,5,2,Congo,13,new,3
1,6,3,18,Jim Belsito,38,3,3,Congo,13,new,3
1,7,1,19,Frank Nilsen,29,7,1,Power Play,43,old,1
1,7,1,19,Neil Graf,58,3,3,Power Play,43,old,1
1,7,1,19,Mads Kristensen,52,5,2,Power Play,43,old,1
1,7,1,19,Marcus Hugosson,53,1,4,Power Play,43,old,1
1,7,2,20,Frank Nilsen,29,5,2,Cyclone,15,mid,2
1,7,2,20,Neil Graf,58,7,1,Cyclone,15,mid,2
1,7,2,20,Mads Kristensen,52,3,3,Cyclone,15,mid,2
1,7,2,20,Marcus Hugosson,53,1,4,Cyclone,15,mid,2
1,7,3,21,Frank Nilsen,29,3,3,Avatar,6,new,3
1,7,3,21,Neil Graf,58,1,4,Avatar,6,new,3
1,7,3,21,Mads Kristensen,52,5,2,Avatar,6,new,3
1,7,3,21,Marcus Hugosson,53,7,1,Avatar,6,new,3
1,8,1,22,John van der Wulp,42,1,4,Silverball Mania,48,old,1
1,8,1,22,Steven Bowden,70,5,2,Silverball Mania,48,old,1
1,8,1,22,Arno Nöbl,6,3,3,Silverball Mania,48,old,1
1,8,1,22,Andrei Massenkoff,1,7,1,Silverball Mania,48,old,1
1,8,2,23,John van der Wulp,42,5,2,Lady Luck,33,mid,2
1,8,2,23,Steven Bowden,70,7,1,Lady Luck,33,mid,2
1,8,2,23,Arno Nöbl,6,3,3,Lady Luck,33,mid,2
1,8,2,23,Andrei Massenkoff,1,1,4,Lady Luck,33,mid,2
1,8,3,24,John van der Wulp,42,5,2,Godzilla Pro,26,new,3
1,8,3,24,Steven Bowden,70,7,1,Godzilla Pro,26,new,3
1,8,3,24,Arno Nöbl,6,3,3,Godzilla Pro,26,new,3
1,8,3,24,Andrei Massenkoff,1,1,4,Godzilla Pro,26,new,3
1,9,1,25,Carlos Delaserda,16,5,2,Dolly Parton,19,old,1
1,9,1,25,Keith Elwin,47,7,1,Dolly Parton,19,old,1
1,9,1,25,Vid Kuklec,77,1,4,Dolly Parton,19,old,1
1,9,1,25,Johnny Modica,43,3,3,Dolly Parton,19,old,1
1,9,2,26,Carlos Delaserda,16,7,1,Pool Sharks,42,mid,2
1,9,2,26,Keith Elwin,47,5,2,Pool Sharks,42,mid,2
1,9,2,26,Vid Kuklec,77,1,4,Pool Sharks,42,mid,2
1,9,2,26,Johnny Modica,43,3,3,Pool Sharks,42,mid,2
1,9,3,27,Carlos Delaserda,16,1,4,Tron Pro,58,new,3
1,9,3,27,Keith Elwin,47,7,1,Tron Pro,58,new,3
1,9,3,27,Vid Kuklec,77,3,3,Tron Pro,58,new,3
1,9,3,27,Johnny Modica,43,5,2,Tron Pro,58,new,3
1,10,1,28,Derek Price,23,5,2,Dark Rider,16,old,1
1,10,1,28,Peter Andersen,63,7,1,Dark Rider,16,old,1
1,10,1,28,David Dahl-Hansson,22,1,4,Dark Rider,16,old,1
1,10,1,28,César Dubón Martínez,18,3,3,Dark Rider,16,old,1
1,10,2,29,Derek Price,23,7,1,Grand Lizard,27,mid,2
1,10,2,29,Peter Andersen,63,3,3,Grand Lizard,27,mid,2
1,10,2,29,David Dahl-Hansson,22,1,4,Grand Lizard,27,mid,2
1,10,2,29,César Dubón Martínez,18,5,2,Grand Lizard,27,mid,2
1,10,3,30,Derek Price,23,1,4,The Shadow,56,new,3
1,10,3,30,Peter Andersen,63,7,1,The Shadow,56,new,3
1,10,3,30,David Dahl-Hansson,22,5,2,The Shadow,56,new,3
1,10,3,30,César Dubón Martínez,18,3,3,The Shadow,56,new,3
1,11,1,31,Stefan Herold,69,5,2,Alligator,5,old,1
1,11,1,31,Bill Mason,11,1,4,Alligator,5,old,1
1,11,1,31,Kurt Louwie,49,7,1,Alligator,5,old,1
1,11,1,31,Colin MacAlpine,19,3,3,Alligator,5,old,1
1,11,2,32,Stefan Herold,69,3,3,Sorcerer,50,mid,2
1,11,2,32,Bill Mason,11,1,4,Sorcerer,50,mid,2
1,11,2,32,Kurt Louwie,49,5,2,Sorcerer,50,mid,2
1,11,2,32,Colin MacAlpine,19,7,1,Sorcerer,50,mid,2
1,11,3,33,Stefan Herold,69,1,4,Deadpool Pro,17,new,3
1,11,3,33,Bill Mason,11,3,3,Deadpool Pro,17,new,3
1,11,3,33,Kurt Louwie,49,5,2,Deadpool Pro,17,new,3
1,11,3,33,Colin MacAlpine,19,7,1,Deadpool Pro,17,new,3
1,12,1,34,Tom Graf,73,1,4,Champ,12,old,1
1,12,1,34,Hervé Pierru,31,5,2,Champ,12,old,1
1,12,1,34,Eric Stone,27,7,1,Champ,12,old,1
1,12,1,34,Jason Lambert,34,3,3,Champ,12,old,1
1,12,2,35,Tom Graf,73,3,3,Pin Bot,40,mid,2
1,12,2,35,Hervé Pierru,31,5,2,Pin Bot,40,mid,2
1,12,2,35,Eric Stone,27,7,1,Pin Bot,40,mid,2
1,12,2,35,Jason Lambert,34,1,4,Pin Bot,40,mid,2
1,12,3,36,Tom Graf,73,3,3,Metallica Monsters,36,new,3
1,12,3,36,Hervé Pierru,31,1,4,Metallica Monsters,36,new,3
1,12,3,36,Eric Stone,27,5,2,Metallica Monsters,36,new,3
1,12,3,36,Jason Lambert,34,7,1,Metallica Monsters,36,new,3
1,13,1,37,Zach McCarthy,79,5,2,Mystic,37,old,1
1,13,1,37,Didier Dujardin,24,3,3,Mystic,37,old,1
1,13,1,37,Andy Bagwell,4,7,1,Mystic,37,old,1
1,13,1,37,Ben Moser,10,1,4,Mystic,37,old,1
1,13,2,38,Zach McCarthy,79,1,4,Road Kings,44,mid,2
1,13,2,38,Didier Dujardin,24,3,3,Road Kings,44,mid,2
1,13,2,38,Andy Bagwell,4,5,2,Road Kings,44,mid,2
1,13,2,38,Ben Moser,10,7,1,Road Kings,44,mid,2
1,13,3,39,Zach McCarthy,79,7,1,World Cup Soccer,59,new,3
1,13,3,39,Didier Dujardin,24,1,4,World Cup Soccer,59,new,3
1,13,3,39,Andy Bagwell,4,3,3,World Cup Soccer,59,new,3
1,13,3,39,Ben Moser,10,5,2,World Cup Soccer,59,new,3
1,14,1,40,Trent Augenstein,75,1,4,Alien Poker,4,old,1
1,14,1,40,Julio Vicario Soriano,46,5,2,Alien Poker,4,old,1
1,14,1,40,Johannes Ostermeier,39,7,1,Alien Poker,4,old,1
1,14,1,40,Artur Natorski,7,3,3,Alien Poker,4,old,1
1,14,2,41,Trent Augenstein,75,3,3,Firepower 2,25,mid,2
1,14,2,41,Julio Vicario Soriano,46,7,1,Firepower 2,25,mid,2
1,14,2,41,Johannes Ostermeier,39,5,2,Firepower 2,25,mid,2
1,14,2,41,Artur Natorski,7,1,4,Firepower 2,25,mid,2
1,14,3,42,Trent Augenstein,75,7,1,Corvette,14,new,3
1,14,3,42,Julio Vicario Soriano,46,3,3,Corvette,14,new,3
1,14,3,42,Johannes Ostermeier,39,5,2,Corvette,14,new,3
1,14,3,42,Artur Natorski,7,1,4,Corvette,14,new,3
1,15,1,43,Jakub Tkacz,33,1,4,Paragon,39,old,1
1,15,1,43,Travis Murie,74,7,1,Paragon,39,old,1
1,15,1,43,Robert Sutter,66,3,3,Paragon,39,old,1
1,15,1,43,Bart Volman,9,5,2,Paragon,39,old,1
1,15,2,44,Jakub Tkacz,33,7,1,Space Station,51,mid,2
1,15,2,44,Travis Murie,74,5,2,Space Station,51,mid,2
1,15,2,44,Robert Sutter,66,1,4,Space Station,51,mid,2
1,15,2,44,Bart Volman,9,3,3,Space Station,51,mid,2
1,15,3,45,Jakub Tkacz,33,1,4,X-Men Pro,60,new,3
1,15,3,45,Travis Murie,74,5,2,X-Men Pro,60,new,3
1,15,3,45,Robert Sutter,66,3,3,X-Men Pro,60,new,3
1,15,3,45,Bart Volman,9,7,1,X-Men Pro,60,new,3
1,16,1,46,Simon Peel,68,5,2,Strikes & Spares,54,old,1
1,16,1,46,John Delzoppo,40,1,4,Strikes & Spares,54,old,1
1,16,1,46,Gabor Solymosi,30,3,3,Strikes & Spares,54,old,1
1,16,1,46,Jason Werdrick,35,7,1,Strikes & Spares,54,old,1
1,16,2,47,Simon Peel,68,1,4,Sorcerer,50,mid,2
1,16,2,47,John Delzoppo,40,7,1,Sorcerer,50,mid,2
1,16,2,47,Gabor Solymosi,30,3,3,Sorcerer,50,mid,2
1,16,2,47,Jason Werdrick,35,5,2,Sorcerer,50,mid,2
1,16,3,48,Simon Peel,68,5,2,AC/DC Luci,3,new,3
1,16,3,48,John Delzoppo,40,3,3,AC/DC Luci,3,new,3
1,16,3,48,Gabor Solymosi,30,7,1,AC/DC Luci,3,new,3
1,16,3,48,Jason Werdrick,35,1,4,AC/DC Luci,3,new,3
1,17,1,49,Nico Wicke,59,7,1,Skateball,49,old,1
1,17,1,49,Leslie Ruckman,50,3,3,Skateball,49,old,1
1,17,1,49,Zach Sharpe,80,1,4,Skateball,49,old,1
1,17,1,49,Paul Englert,61,5,2,Skateball,49,old,1
1,17,2,50,Nico Wicke,59,1,4,Blackout,10,mid,2
1,17,2,50,Leslie Ruckman,50,3,3,Blackout,10,mid,2
1,17,2,50,Zach Sharpe,80,7,1,Blackout,10,mid,2
1,17,2,50,Paul Englert,61,5,2,Blackout,10,mid,2
1,17,3,51,Nico Wicke,59,7,1,Star Trek Premium,52,new,3
1,17,3,51,Leslie Ruckman,50,1,4,Star Trek Premium,52,new,3
1,17,3,51,Zach Sharpe,80,5,2,Star Trek Premium,52,new,3
1,17,3,51,Paul Englert,61,3,3,Star Trek Premium,52,new,3
1,18,1,52,John Kottmann,41,5,2,6 Million Dollar Man,1,old,1
1,18,1,52,Josh Sharpe,45,3,3,6 Million Dollar Man,1,old,1
1,18,1,52,Daniele Celestino Acciari,21,7,1,6 Million Dollar Man,1,old,1
1,18,1,52,Craig Pullen,20,1,4,6 Million Dollar Man,1,old,1
1,18,2,53,John Kottmann,41,1,4,F14 Tomcat,21,mid,2
1,18,2,53,Josh Sharpe,45,3,3,F14 Tomcat,21,mid,2
1,18,2,53,Daniele Celestino Acciari,21,7,1,F14 Tomcat,21,mid,2
1,18,2,53,Craig Pullen,20,5,2,F14 Tomcat,21,mid,2
1,18,3,54,John Kottmann,41,5,2,Beatles Gold,9,new,3
1,18,3,54,Josh Sharpe,45,7,1,Beatles Gold,9,new,3
1,18,3,54,Daniele Celestino Acciari,21,3,3,Beatles Gold,9,new,3
1,18,3,54,Craig Pullen,20,1,4,Beatles Gold,9,new,3
1,19,1,55,Markus Stix,55,3,3,Playboy,41,old,1
1,19,1,55,Reidar Spets,65,5,2,Playboy,41,old,1
1,19,1,55,Jack Tadman,32,7,1,Playboy,41,old,1
1,19,1,55,Markus Virtanen,56,1,4,Playboy,41,old,1
1,19,2,56,Markus Stix,55,3,3,Robocop,45,mid,2
1,19,2,56,Reidar Spets,65,7,1,Robocop,45,mid,2
1,19,2,56,Jack Tadman,32,5,2,Robocop,45,mid,2
1,19,2,56,Markus Virtanen,56,1,4,Robocop,45,mid,2
1,19,3,57,Markus Stix,55,5,2,Iron Maiden LE,30,new,3
1,19,3,57,Reidar Spets,65,3,3,Iron Maiden LE,30,new,3
1,19,3,57,Jack Tadman,32,7,1,Iron Maiden LE,30,new,3
1,19,3,57,Markus Virtanen,56,1,4,Iron Maiden LE,30,new,3
1,20,1,58,Olli-Mikko Ojamies,60,7,1,Firepower,24,mid,2
1,20,1,58,Andrew Foster,3,1,4,Firepower,24,mid,2
1,20,1,58,Roberto Pedroni,67,5,2,Firepower,24,mid,2
1,20,1,58,Luke Nahorniak,51,3,3,Firepower,24,mid,2
1,20,2,59,Olli-Mikko Ojamies,60,3,3,Playboy,41,old,1
1,20,2,59,Andrew Foster,3,7,1,Playboy,41,old,1
1,20,2,59,Roberto Pedroni,67,5,2,Playboy,41,old,1
1,20,2,59,Luke Nahorniak,51,1,4,Playboy,41,old,1
1,20,3,60,Olli-Mikko Ojamies,60,5,2,The Addams Family,55,new,3
1,20,3,60,Andrew Foster,3,1,4,The Addams Family,55,new,3
1,20,3,60,Roberto Pedroni,67,7,1,The Addams Family,55,new,3
1,20,3,60,Luke Nahorniak,51,3,3,The Addams Family,55,new,3
2,1,1,61,Keith Elwin,47,7,1,Strikes & Spares,54,old,1
2,1,1,61,Paul Englert,61,5,2,Strikes & Spares,54,old,1
2,1,1,61,John van der Wulp,42,1,4,Strikes & Spares,54,old,1
2,1,1,61,Markus Virtanen,56,3,3,Strikes & Spares,54,old,1
2,1,2,62,Keith Elwin,47,3,3,F14 Tomcat,21,mid,2
2,1,2,62,Paul Englert,61,7,1,F14 Tomcat,21,mid,2
2,1,2,62,John van der Wulp,42,1,4,F14 Tomcat,21,mid,2
2,1,2,62,Markus Virtanen,56,5,2,F14 Tomcat,21,mid,2
2,1,3,63,Keith Elwin,47,7,1,Metallica Monsters,36,new,3
2,1,3,63,Paul Englert,61,5,2,Metallica Monsters,36,new,3
2,1,3,63,John van der Wulp,42,1,4,Metallica Monsters,36,new,3
2,1,3,63,Markus Virtanen,56,3,3,Metallica Monsters,36,new,3
2,2,1,64,Eric Stone,27,7,1,Silverball Mania,48,old,1
2,2,1,64,Mads Kristensen,52,1,4,Silverball Mania,48,old,1
2,2,1,64,Emil ED Dreiborg,25,3,3,Silverball Mania,48,old,1
2,2,1,64,Tim Sexton,72,5,2,Silverball Mania,48,old,1
2,2,2,65,Eric Stone,27,1,4,Pool Sharks,42,mid,2
2,2,2,65,Mads Kristensen,52,7,1,Pool Sharks,42,mid,2
2,2,2,65,Emil ED Dreiborg,25,3,3,Pool Sharks,42,mid,2
2,2,2,65,Tim Sexton,72,5,2,Pool Sharks,42,mid,2
2,2,3,66,Eric Stone,27,7,1,Deadpool Pro,17,new,3
2,2,3,66,Mads Kristensen,52,3,3,Deadpool Pro,17,new,3
2,2,3,66,Emil ED Dreiborg,25,1,4,Deadpool Pro,17,new,3
2,2,3,66,Tim Sexton,72,5,2,Deadpool Pro,17,new,3
2,3,1,67,Jack Tadman,32,5,2,Champ,12,old,1
2,3,1,67,Brian O’Neill NH,14,3,3,Champ,12,old,1
2,3,1,67,Brian Shepherd,15,7,1,Champ,12,old,1
2,3,1,67,Artur Natorski,7,1,4,Champ,12,old,1
2,3,2,68,Jack Tadman,32,3,3,Sorcerer,50,mid,2
2,3,2,68,Brian O’Neill NH,14,1,4,Sorcerer,50,mid,2
2,3,2,68,Brian Shepherd,15,5,2,Sorcerer,50,mid,2
2,3,2,68,Artur Natorski,7,7,1,Sorcerer,50,mid,2
2,3,3,69,Jack Tadman,32,7,1,The Shadow,56,new,3
2,3,3,69,Brian O’Neill NH,14,5,2,The Shadow,56,new,3
2,3,3,69,Brian Shepherd,15,1,4,The Shadow,56,new,3
2,3,3,69,Artur Natorski,7,3,3,The Shadow,56,new,3
2,4,1,70,Steven Bowden,70,3,3,Power Play,43,old,1
2,4,1,70,Josh Sharpe,45,7,1,Power Play,43,old,1
2,4,1,70,Bill Mason,11,1,4,Power Play,43,old,1
2,4,1,70,Jason Lambert,34,5,2,Power Play,43,old,1
2,4,2,71,Steven Bowden,70,7,1,Space Station,51,mid,2
2,4,2,71,Josh Sharpe,45,1,4,Space Station,51,mid,2
2,4,2,71,Bill Mason,11,5,2,Space Station,51,mid,2
2,4,2,71,Jason Lambert,34,3,3,Space Station,51,mid,2
2,4,3,72,Steven Bowden,70,3,3,The Walking Dead Pro,57,new,3
2,4,3,72,Josh Sharpe,45,1,4,The Walking Dead Pro,57,new,3
2,4,3,72,Bill Mason,11,7,1,The Walking Dead Pro,57,new,3
2,4,3,72,Jason Lambert,34,5,2,The Walking Dead Pro,57,new,3
2,5,1,73,Travis Murie,74,7,1,Fireball (DE),23,old,1
2,5,1,73,Gabor Solymosi,30,5,2,Fireball (DE),23,old,1
2,5,1,73,Jeff Teolis,37,1,4,Fireball (DE),23,old,1
2,5,1,73,Vid Kuklec,77,3,3,Fireball (DE),23,old,1
2,5,2,74,Travis Murie,74,5,2,Firepower,24,mid,2
2,5,2,74,Gabor Solymosi,30,7,1,Firepower,24,mid,2
2,5,2,74,Jeff Teolis,37,3,3,Firepower,24,mid,2
2,5,2,74,Vid Kuklec,77,1,4,Firepower,24,mid,2
2,5,3,75,Travis Murie,74,1,4,Star Trek Premium,52,new,3
2,5,3,75,Gabor Solymosi,30,7,1,Star Trek Premium,52,new,3
2,5,3,75,Jeff Teolis,37,3,3,Star Trek Premium,52,new,3
2,5,3,75,Vid Kuklec,77,5,2,Star Trek Premium,52,new,3
2,6,1,76,Johannes Ostermeier,39,5,2,Skateball,49,old,1
2,6,1,76,Jason Werdrick,35,1,4,Skateball,49,old,1
2,6,1,76,Simon Peel,68,3,3,Skateball,49,old,1
2,6,1,76,Robert Sutter,66,7,1,Skateball,49,old,1
2,6,2,77,Johannes Ostermeier,39,7,1,Scorpion,47,mid,2
2,6,2,77,Jason Werdrick,35,5,2,Scorpion,47,mid,2
2,6,2,77,Simon Peel,68,1,4,Scorpion,47,mid,2
2,6,2,77,Robert Sutter,66,3,3,Scorpion,47,mid,2
2,6,3,78,Johannes Ostermeier,39,5,2,Rush Pro,46,new,3
2,6,3,78,Jason Werdrick,35,3,3,Rush Pro,46,new,3
2,6,3,78,Simon Peel,68,1,4,Rush Pro,46,new,3
2,6,3,78,Robert Sutter,66,7,1,Rush Pro,46,new,3
2,7,1,79,Colin MacAlpine,19,7,1,8 Ball,2,old,1
2,7,1,79,Zach McCarthy,79,5,2,8 Ball,2,old,1
2,7,1,79,John Kottmann,41,1,4,8 Ball,2,old,1
2,7,1,79,Craig Pullen,20,3,3,8 Ball,2,old,1
2,7,2,80,Colin MacAlpine,19,5,2,Grand Lizard,27,mid,2
2,7,2,80,Zach McCarthy,79,1,4,Grand Lizard,27,mid,2
2,7,2,80,John Kottmann,41,3,3,Grand Lizard,27,mid,2
2,7,2,80,Craig Pullen,20,7,1,Grand Lizard,27,mid,2
2,7,3,81,Colin MacAlpine,19,5,2,Corvette,14,new,3
2,7,3,81,Zach McCarthy,79,7,1,Corvette,14,new,3
2,7,3,81,John Kottmann,41,3,3,Corvette,14,new,3
2,7,3,81,Craig Pullen,20,1,4,Corvette,14,new,3
2,8,1,82,Kurt Louwie,49,3,3,Alien Poker,4,old,1
2,8,1,82,Arvid Flygare,8,7,1,Alien Poker,4,old,1
2,8,1,82,Archibald Lefevre,5,5,2,Alien Poker,4,old,1
2,8,1,82,Tom Graf,73,1,4,Alien Poker,4,old,1
2,8,2,83,Kurt Louwie,49,7,1,Robocop,45,mid,2
2,8,2,83,Arvid Flygare,8,3,3,Robocop,45,mid,2
2,8,2,83,Archibald Lefevre,5,1,4,Robocop,45,mid,2
2,8,2,83,Tom Graf,73,5,2,Robocop,45,mid,2
2,8,3,84,Kurt Louwie,49,5,2,The Addams Family,55,new,3
2,8,3,84,Arvid Flygare,8,7,1,The Addams Family,55,new,3
2,8,3,84,Archibald Lefevre,5,1,4,The Addams Family,55,new,3
2,8,3,84,Tom Graf,73,3,3,The Addams Family,55,new,3
2,9,1,85,Viggo Löwgren,78,3,3,Dark Rider,16,old,1
2,9,1,85,Paul Jongma,62,7,1,Dark Rider,16,old,1
2,9,1,85,Neil Graf,58,5,2,Dark Rider,16,old,1
2,9,1,85,Didier Dujardin,24,1,4,Dark Rider,16,old,1
2,9,2,86,Viggo Löwgren,78,7,1,Fire,22,mid,2
2,9,2,86,Paul Jongma,62,5,2,Fire,22,mid,2
2,9,2,86,Neil Graf,58,1,4,Fire,22,mid,2
2,9,2,86,Didier Dujardin,24,3,3,Fire,22,mid,2
2,9,3,87,Viggo Löwgren,78,5,2,Tron Pro,58,new,3
2,9,3,87,Paul Jongma,62,7,1,Tron Pro,58,new,3
2,9,3,87,Neil Graf,58,3,3,Tron Pro,58,new,3
2,9,3,87,Didier Dujardin,24,1,4,Tron Pro,58,new,3
2,10,1,88,Peter Andersen,63,5,2,Dolly Parton,19,old,1
2,10,1,88,Ben Moser,10,3,3,Dolly Parton,19,old,1
2,10,1,88,Markus Stix,55,7,1,Dolly Parton,19,old,1
2,10,1,88,Leslie Ruckman,50,1,4,Dolly Parton,19,old,1
2,10,2,89,Peter Andersen,63,5,2,Elektra,20,mid,2
2,10,2,89,Ben Moser,10,1,4,Elektra,20,mid,2
2,10,2,89,Markus Stix,55,3,3,Elektra,20,mid,2
2,10,2,89,Leslie Ruckman,50,7,1,Elektra,20,mid,2
2,10,3,90,Peter Andersen,63,5,2,Indianapolis 500,29,new,3
2,10,3,90,Ben Moser,10,7,1,Indianapolis 500,29,new,3
2,10,3,90,Markus Stix,55,3,3,Indianapolis 500,29,new,3
2,10,3,90,Leslie Ruckman,50,1,4,Indianapolis 500,29,new,3
2,11,1,91,Daniele Celestino Acciari,21,7,1,Playboy,41,old,1
2,11,1,91,Derek Price,23,5,2,Playboy,41,old,1
2,11,1,91,John Delzoppo,40,1,4,Playboy,41,old,1
2,11,1,91,Tyler Dipper,76,3,3,Playboy,41,old,1
2,11,2,92,Daniele Celestino Acciari,21,7,1,Lady Luck,33,mid,2
2,11,2,92,Derek Price,23,3,3,Lady Luck,33,mid,2
2,11,2,92,John Delzoppo,40,1,4,Lady Luck,33,mid,2
2,11,2,92,Tyler Dipper,76,5,2,Lady Luck,33,mid,2
2,11,3,93,Daniele Celestino Acciari,21,1,4,Jurassic Park LE,32,new,3
2,11,3,93,Derek Price,23,5,2,Jurassic Park LE,32,new,3
2,11,3,93,John Delzoppo,40,7,1,Jurassic Park LE,32,new,3
2,11,3,93,Tyler Dipper,76,3,3,Jurassic Park LE,32,new,3
2,12,1,94,Roberto Pedroni,67,1,4,Power Play,43,old,1
2,12,1,94,Zach Sharpe,80,3,3,Power Play,43,old,1
2,12,1,94,Johnny Modica,43,7,1,Power Play,43,old,1
2,12,1,94,David Dahl-Hansson,22,5,2,Power Play,43,old,1
2,12,2,95,Roberto Pedroni,67,5,2,Firepower 2,25,mid,2
2,12,2,95,Zach Sharpe,80,7,1,Firepower 2,25,mid,2
2,12,2,95,Johnny Modica,43,3,3,Firepower 2,25,mid,2
2,12,2,95,David Dahl-Hansson,22,1,4,Firepower 2,25,mid,2
2,12,3,96,Roberto Pedroni,67,7,1,World Cup Soccer,59,new,3
2,12,3,96,Zach Sharpe,80,5,2,World Cup Soccer,59,new,3
2,12,3,96,Johnny Modica,43,3,3,World Cup Soccer,59,new,3
2,12,3,96,David Dahl-Hansson,22,1,4,World Cup Soccer,59,new,3
2,13,1,97,Raymond Davidson,64,1,4,Silverball Mania,48,old,1
2,13,1,97,Carlos Delaserda,16,5,2,Silverball Mania,48,old,1
